1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-101757243_0,-101966488#2_0,-103082314#0_0,-1275560130_0,101966393#2_0,101972917_0,102690997#2_0,103082316#1_0,1124102312_0,1132632802#0_0,1198952554#8_0,52152219#0_0,563022376#2_0,:10943277968_6_0,:1174832699_0_0,:1177160556_3_1,:1177161018_10_0,:1177161468_0_0,:1177161645_0_0,:1177211769_10_0,:1187083489_3_0,:1190100487_0_0,:1190128320_6_0,:664446129_0_0,:664472707_2_0,:cluster_10279701141_1177160864_664472702_3_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_14_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_17_0,:cluster_1189036471_1189036770_9_0
-101757273#0_0,-101966492_0,-103082314#1_0,-1275560131_0,101966396_0,101972924#0_0,102690997#3_0,103082317#0_0,1124105437_0,1132632802#1_0,1198952554#9_0,52152219#1_0,696897744_0,:10943433498_0_0,:1174832699_10_0,:1177160566_4_0,:1177161018_1_0,:1177161468_1_0,:1177161645_6_0,:1177211769_4_0,:1189036468_0_0,:1190100498_3_0,:1190128320_7_0,:664446129_1_0,:664472707_3_0,:cluster_10279701141_1177160864_664472702_4_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_16_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_19_0,:cluster_1190128316_1190128344_1_0
-101757273#1_0,-101966494_0,-103082314#2_0,-1309211043_0,101966397_0,101972924#2_0,102690997#4_0,103082317#1_0,1124105783_0,1132632803_0,1198952555#0_0,52152302#1_0,749310218_0,:10943433498_2_0,:1174832699_1_0,:1177160571_4_0,:1177161018_3_0,:1177161468_4_0,:1177161675_10_0,:1177211771_0_0,:1189036518_4_0,:1190128192_1_0,:1190128320_9_0,:664446130_0_0,:664472733_4_0,:cluster_10279701141_1177160864_664472702_4_1,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_17_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_1_0,:cluster_1190128316_1190128344_6_0
-101757273#2_0,-101966506#0_0,-103082314#3_0,-52152309#0_0,101966424#1_0,101972924#3_0,102690997#5_0,103082317#2_0,1124379125_0,1137238825_0,1198952555#1_0,52152302#2_0,749341589#0_0,:10943433498_3_0,:1174832699_3_0,:1177160573_0_0,:1177161018_4_0,:1177161468_6_0,:1177161675_1_0,:1177211771_13_0,:1189036526_0_0,:1190128194_10_0,:1190128334_0_0,:664446130_2_0,:664472733_5_0,:cluster_10279701141_1177160864_664472702_7_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_1_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_20_0,:cluster_1190128316_1190128344_8_0
-101757288_0,-101966506#1_0,-103082314#4_0,-52155576#0_0,101966424#2_0,101972924#5_0,102691001#0_0,103082317#3_0,1124379125_1,1147855373_0,1198952555#2_0,52152302#3_0,749341589#1_0,:10943433498_3_1,:1174832699_4_0,:1177160573_1_0,:1177161018_6_0,:1177161468_7_0,:1177161675_3_0,:1177211771_16_0,:1189036539_0_0,:1190128194_12_0,:1190128334_10_0,:664446130_3_0,:664472733_7_0,:cluster_10279701141_1177160864_664472702_8_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_1_1,:cluster_11158897100_11158897101_11158897102_664471748_#1more_2_0,:cluster_11942000232_664472748_1_0
-101757302#0_0,-101966508_0,-103082314#5_0,-52155576#1_0,101966427_0,101972944_0,102691001#1_0,103082323#0_0,1124379127#0_0,1173597755#0_0,1198952555#3_0,52152302#4_0,749643668_0,:10943435169_0_0,:1174832699_6_0,:1177160573_2_0,:1177161018_7_0,:1177161468_9_0,:1177161675_4_0,:1177211771_1_0,:1189036615_3_0,:1190128194_18_0,:1190128334_1_0,:664446130_4_0,:664472746_0_0,:cluster_10279701141_1177160864_664472702_9_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_3_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_3_0,:cluster_11942000232_664472748_2_0
-101757302#2_0,-101972892#0_0,-103082314#6_0,-52155579#0_0,101966430#0_0,101972954#1_0,102784452#0_0,103082324_0,1124379127#0_1,1173597755#2_0,1199457538#0_0,52152302#5_0,771670219_0,:10943435169_1_0,:1174832699_7_0,:1177160598_0_0,:1177161022_0_0,:1177161483_0_0,:1177161675_6_0,:1177211771_2_0,:1189036717_3_0,:1190128194_1_0,:1190128334_3_0,:664446531_0_0,:664472746_3_0,:cluster_10279701142_664471710_0_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_5_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_5_0,:cluster_11944729366_664471711_0_0
-101757312#0_0,-101972892#1_0,-103082314#7_0,-52155579#2_0,101966430#1_0,101972954#2_0,102784452#1_0,103082326#0_0,1124379127#1_0,1173597755#3_0,1199457538#1_0,52152302#6_0,995140650_0,:10943435169_2_0,:1174832713_10_0,:1177160598_10_0,:1177161022_3_0,:1177161483_1_0,:1177161675_7_0,:1177211771_4_0,:1189036717_3_1,:1190128194_9_0,:1190128334_4_0,:664446557_0_0,:664472746_3_1,:cluster_10279701142_664471710_10_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_6_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_6_0,:cluster_11944729366_664471711_1_0
-101757312#1_0,-101972898#0_0,-103082314#8_0,-52155579#3_0,101966430#2_0,101972954#4_0,102784452#2_0,103082326#1_0,1124379127#1_1,1173917946_0,1199457538#2_0,52152302#7_0,:10279701136_0_0,:10943490813_1_0,:1174832713_1_0,:1177160598_1_0,:1177161043_0_0,:1177161483_3_0,:1177161698_0_0,:1177211771_8_0,:1189036737_0_0,:1190128222_0_0,:1190128334_6_0,:664446557_2_0,:664472747_0_0,:cluster_10279701142_664471710_10_1,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_7_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_7_0,:cluster_11944729366_664471711_1_1
-101757321_0,-101972898#1_0,-103082314#9_0,-52155579#4_0,101966430#3_0,101972960#0_0,102784452#3_0,103230557#0_0,1124379127#2_0,1178005070_0,1199457539_0,52152302#8_0,:10279701136_1_0,:10943490816_1_0,:1174832713_3_0,:1177160598_3_0,:1177161043_1_0,:1177161483_4_0,:1177161698_3_0,:1177211896_0_0,:1189036737_6_0,:1190128222_1_0,:1190128334_7_0,:664446557_3_0,:664472747_1_0,:cluster_10279701142_664471710_12_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_8_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_7_1,:cluster_11944729366_664471711_3_0
-101966385#0_0,-101972898#2_0,-103082316#1_0,-52155736#0_0,101966443#0_0,101972960#1_0,102784452#4_0,103230557#1_0,1124379127#2_1,1178005978#0_0,1199457540#0_0,52152309#0_0,:10279701136_1_1,:10943490945_0_0,:1174832713_4_0,:1177160598_4_0,:1177161043_4_0,:1177161483_5_0,:1177161698_4_0,:1177211896_1_0,:1189036766_0_0,:1190128222_4_0,:1190128338_0_0,:664446557_4_0,:664472749_0_0,:cluster_10279701142_664471710_14_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_9_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_9_0,:cluster_11944729366_664471711_4_0
