Timestep,Traffic_Light_ID,State,Phase_Duration
0,cluster_10279701148_11630151856_663826006,GG,0.001
0,cluster_11502623497_1177160337,rrGGg,42.0
0,cluster_664446535_8507351666,rrGGG,42.0
1,cluster_10279701148_11630151856_663826006,GG,0.001
1,cluster_11502623497_1177160337,rrGGg,42.0
1,cluster_664446535_8507351666,rrGGG,42.0
2,cluster_10279701148_11630151856_663826006,GG,0.001
2,cluster_11502623497_1177160337,rrGGg,42.0
2,cluster_664446535_8507351666,rrGGG,42.0
3,cluster_10279701148_11630151856_663826006,GG,0.001
3,cluster_11502623497_1177160337,rrGGg,42.0
3,cluster_664446535_8507351666,rrGGG,42.0
4,cluster_10279701148_11630151856_663826006,GG,0.001
4,cluster_11502623497_1177160337,rrGGg,42.0
4,cluster_664446535_8507351666,rrGGG,42.0
5,cluster_10279701148_11630151856_663826006,GG,0.001
5,cluster_11502623497_1177160337,rryyy,3.0
5,cluster_664446535_8507351666,rryyy,3.0
6,cluster_10279701148_11630151856_663826006,GG,0.001
6,cluster_11502623497_1177160337,rryyy,3.0
6,cluster_664446535_8507351666,rryyy,3.0
7,cluster_10279701148_11630151856_663826006,GG,0.001
7,cluster_11502623497_1177160337,rryyy,3.0
7,cluster_664446535_8507351666,rryyy,3.0
8,cluster_10279701148_11630151856_663826006,GG,0.001
8,cluster_11502623497_1177160337,GGrrr,42.0
8,cluster_664446535_8507351666,GGrrr,42.0
9,cluster_10279701148_11630151856_663826006,GG,0.001
9,cluster_11502623497_1177160337,GGrrr,42.0
9,cluster_664446535_8507351666,GGrrr,42.0
10,cluster_10279701148_11630151856_663826006,GG,0.001
10,cluster_11502623497_1177160337,GGrrr,42.0
10,cluster_664446535_8507351666,GGrrr,42.0
11,cluster_10279701148_11630151856_663826006,GG,0.001
11,cluster_11502623497_1177160337,GGrrr,42.0
11,cluster_664446535_8507351666,GGrrr,42.0
12,cluster_10279701148_11630151856_663826006,GG,0.001
12,cluster_11502623497_1177160337,GGrrr,42.0
12,cluster_664446535_8507351666,GGrrr,42.0
13,cluster_10279701148_11630151856_663826006,GG,0.001
13,cluster_11502623497_1177160337,yyrrr,3.0
13,cluster_664446535_8507351666,yyrrr,3.0
14,cluster_10279701148_11630151856_663826006,GG,0.001
14,cluster_11502623497_1177160337,yyrrr,3.0
14,cluster_664446535_8507351666,yyrrr,3.0
15,cluster_10279701148_11630151856_663826006,GG,0.001
15,cluster_11502623497_1177160337,yyrrr,3.0
15,cluster_664446535_8507351666,yyrrr,3.0
16,cluster_10279701148_11630151856_663826006,GG,0.001
16,cluster_11502623497_1177160337,rrGGg,42.0
16,cluster_664446535_8507351666,rrGGG,42.0
