Timestep,Traffic_Light_ID,State,Phase_Duration,Traffic_Light_1_2,Traffic_Light_3_4,Zebra_Crossing_Light
0,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
0,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
1,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
1,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
2,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
2,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
3,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
3,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
4,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
4,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
5,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
5,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
6,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
6,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
7,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
7,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
8,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
8,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
9,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
9,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
10,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
10,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
11,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
11,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
12,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
12,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
13,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
13,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
14,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
14,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
15,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
15,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
16,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
16,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
17,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
17,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
18,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
18,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
19,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
19,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
20,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
20,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
21,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
21,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
22,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
22,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
23,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
23,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
24,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
24,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
25,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
25,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
26,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
26,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
27,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
27,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
28,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
28,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
29,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
29,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
30,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
30,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
31,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
31,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
32,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
32,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
33,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
33,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
34,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
34,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
35,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
35,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
36,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
36,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
37,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
37,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
38,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
38,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
39,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
39,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
40,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
40,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
41,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
41,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
42,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
42,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
43,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
43,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
44,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
44,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
45,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
45,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
