Vehicle_ID,Depart_Time,Arrival_Time,Duration,Waiting_Time,Time_Loss,Distance_Traveled
veh0,0.0,55.0,55.0,0.0,16.95,650.14
veh5,44.0,86.0,42.0,0.0,3.56,420.9
veh5.1,45.0,92.0,47.0,0.0,5.02,420.9
veh3,27.0,102.0,75.0,0.0,14.72,823.23
veh3.1,30.0,105.0,75.0,0.0,17.87,823.23
veh3.2,33.0,112.0,79.0,1.0,19.63,823.23
veh1,9.0,123.0,114.0,0.0,27.02,1292.35
veh3.3,36.0,128.0,92.0,0.0,18.36,823.23
veh3.4,39.0,131.0,92.0,0.0,33.58,823.23
veh3.5,42.0,136.0,94.0,0.0,24.81,823.23
veh3.6,47.0,140.0,93.0,0.0,27.36,823.23
veh4,35.0,145.0,110.0,0.0,22.61,1265.86
veh4.1,37.0,146.0,109.0,0.0,28.22,1265.86
veh7,62.0,155.0,93.0,6.0,38.34,925.73
veh4.2,41.0,156.0,115.0,0.0,22.68,1265.86
veh7.1,65.0,157.0,92.0,3.0,36.13,925.73
veh7.2,68.0,160.0,92.0,0.0,35.97,925.73
veh9,79.0,161.0,82.0,22.0,37.75,563.1
veh7.3,71.0,162.0,91.0,0.0,36.53,925.73
veh12,105.0,162.0,57.0,0.0,16.08,575.05
veh4.3,44.0,163.0,119.0,0.0,20.76,1265.86
veh3.7,50.0,165.0,115.0,9.0,44.25,823.23
veh7.4,74.0,166.0,92.0,0.0,33.29,925.73
veh12.1,108.0,166.0,58.0,0.0,20.73,575.05
veh5.2,46.0,167.0,121.0,64.0,75.71,420.9
veh12.2,111.0,168.0,57.0,0.0,24.25,575.05
veh5.3,48.0,169.0,121.0,62.0,78.12,420.9
veh7.5,77.0,169.0,92.0,0.0,26.87,925.73
veh5.4,50.0,171.0,121.0,61.0,79.99,420.9
veh12.3,114.0,171.0,57.0,0.0,24.75,575.05
veh4.4,47.0,172.0,125.0,0.0,20.93,1265.86
veh4.5,50.0,173.0,123.0,0.0,26.67,1265.86
